"Deutsche Post DHL",dhl-germany,"+49 228 28609898",http://www.dhl.de/,globalpost,//s.trackingmore.com/images/icons/express/dhl-germany.png,DE,https://nolp.dhl.de/nextt-online-public/en/search?piececode=******&cid=dhlde,德国DHL
"An Post",an-post,"(353) 01-7057600",http://www.anpost.ie/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/9050.jpg,IE,https://www.anpost.com/,爱尔兰邮政
"DHL Parcel Netherlands",dhlparcel-nl,"+31(0)900 - 222 21 20",https://www.dhlparcel.nl/,express,//s.trackingmore.com/images/icons/express/dhlparcel-nl.png,NL,https://www.dhlparcel.nl/nl/consument/volg-je-pakket?tc=******&lc=nl-NL,荷兰DHL
"DHL Poland Domestic",dhl-poland,"+48 42 6 345 345",http://www.dhl.com.pl/,express,//s.trackingmore.com/images/icons/express/dhl-poland.png,PL,https://www.logistics.dhl/pl-pl/home/sledzenie.html?tracking-id=******,波兰DHL
"DHL Spain Domestic",dhl-es,"+34 902 09 05 41",http://www.dhl.es/,express,//s.trackingmore.com/images/icons/express/dhl-es.png,ES,https://www.logistics.dhl/es-es/home/seguimiento.html?tracking-id=******,西班牙DHL
"Mexico Post",correos-mexico,"(55) 5340 3300",http://www.correosdemexico.gob.mx/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/13140.jpg,MX,https://www.correosdemexico.gob.mx/SSLServicios/SeguimientoEnvio/Seguimiento.aspx,墨西哥邮政
"Posten Norge",posten-norge,"+(47) 21 31 62 60",http://www.posten.no/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/14080.jpg,NO,https://sporing.posten.no/sporing.html?q=******,挪威邮政
"TNT Italy",tnt-it,"+39 199 803 868",http://www.tnt.it/,express,//s.trackingmore.com/images/icons/express/tnt-it.png,IT,https://www.tnt.it/tracking/Tracking.do,意大利TNT
"TNT France",tnt-fr,0825071071,http://www.tnt.fr/,express,//s.trackingmore.com/images/icons/express/tnt-fr.png,FR,http://www.tnt.fr/,法国TNT
"Portugal Post - CTT",ctt,"(351) 707262626",http://www.ctt.pt/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/16100.jpg,PT,https://www.ctt.pt/feapl_2/app/open/objectSearch/objectSearch.jspx?lang=01,葡萄牙邮政-CTT
"South African Post Office",south-africa-post,"+(27) 0860 111 502",http://www.postoffice.co.za/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19170.jpg,ZA,http://www.postoffice.co.za/,南非邮政
"Correos Spain",correos-spain,"+34 902197197",http://www.correos.es/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19180.jpg,ES,https://www.correos.es/ss/Satellite/site/aplicacion-4000003383089-inicio/detalle_app-sidioma=es_ES?numero=0000,西班牙邮政
"Chunghwa POST",taiwan-post,0800-700-365,https://ipost.post.gov.tw/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20010.jpg,TW,http://postserv.post.gov.tw/pstmail/main_mail.html,中華郵政
"Ukraine Post",ukraine-post,"+380 44 323 20 99",http://ukrposhta.ua/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/21020.jpg,UA,https://a.ukrposhta.ua/vidslidkuvati-forma-poshuku_UA.html?barcode=******,乌克兰邮政
"Ukraine EMS",ukraine-ems,"(380) 44 245-43-15",http://dpsz.ua/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/21021.jpg,UA,http://dpsz.ua/track/ems,"乌克兰 EMS"
"Emirates Post",emirates-post,"(971) /600 599999",http://www.epg.gov.ae/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/5030.jpg,AE,https://www.epg.ae/esvc/services/track/index.xhtml?pageid=MAINMENU_TRACKNTRACE&lang=ar,阿联酋邮政
"Uruguay Post",uruguay-post,"(598) 29160200",http://www.correo.com.uy/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/21040.jpg,UY,http://www.correo.com.uy/seguimientodeenvios,乌拉圭邮政
"Japan Post",japan-post,"+81 0570-046111",http://www.post.japanpost.jp/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/10020.jpg,JP,https://trackings.post.japanpost.jp/services/srv/search/direct?reqCodeNo1=******&searchKind=S002&locale=en,日本邮政
"Romania Post",posta-romana,"+ (40) 021 9393 111",http://www.posta-romana.ro/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/18020.jpg,RO,https://www.posta-romana.ro/en/track-trace.html,罗马尼亚邮政
"Korea Post",korea-post,82-2-2108-9895,http://www.epost.go.kr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/11050.jpg,KR,https://ems.epost.go.kr/front.Tracking01Eng.postal,韩国邮政
"ELTA Hellenic Post",greece-post,"(+30) 800-11-82000",http://www.elta.gr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/7070.jpg,GR,https://www.elta.gr/el-gr/home.aspx,希腊邮政
"Deutsche Post",deutsche-post,"0228 4333118",http://www.deutschepost.de/,express,//s.trackingmore.com/images/icons/express/companylogo/7040.jpg,DE,https://nolp.dhl.de/nextt-online-public/report_popup.jsp?lang=de,德国邮政
"Czech Post",czech-post,"420 954 292 102",http://www.ceskaposta.cz/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3220.jpg,CZ,https://www.postaonline.cz/trackandtrace/-/zasilka/cislo?parcelNumbers=******,捷克邮政
"Correos Chile",correos-chile,"562 600 950 2020",http://www.correos.cl/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3100.jpg,CL,https://www.correos.cl/SitePages/seguimiento/seguimiento.aspx?envio=******,智利邮政
"Aland Post",aland-post,"358 18 6360",http://www.posten.ax/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/91020.jpg,AX,https://www.alandpost.ax/en,奥兰群岛芬兰邮政
"Macao Post",macao-post,"+(853) 2857 4491",http://www.macaupost.gov.mo/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/13010.jpg,MO,http://www.ctt.gov.mo/macaupost/contents/MailTrack.aspx,澳门邮政
WishPost,wishpost,13917283454,https://www.wishpost.cn,express,//s.trackingmore.com/images/icons/express/wishpost.png,CN,https://wishpost.wish.com/tracking,Wish邮
"PFC Express",pfcexpress,+86-755-83727415,http://www.pfcexpress.com/,express,//s.trackingmore.com/images/icons/express/pfcexpress.png,cn,http://www.pfcexpress.com/Manage/WebManage/Inquire.aspx?txtID=No,PFC皇家物流
"Yun Express",yunexpress,4000-2621-26,http://www.yunexpress.com/,express,//s.trackingmore.com/images/icons/express/yunexpress.png,CN,http://www.yuntrack.com/track/detail?id=******,云途物流
"CNE Express",cnexps,"86 400 021 5600",http://tracking.cne.com/cnexx/15/d.htm,express,//s.trackingmore.com/images/icons/express/cnexps.png,CN,http://tracking.cnexps.com/cnexx/15/d.htm,CNE国际快递
Buylogic,buylogic,86-755-8145512286,http://www.buylogic.cc/,express,//s.trackingmore.com/images/icons/express/buylogic.png,CN,http://www.buylogic.cc/track.htm,捷买送
4PX,4px,86-755-23508000,http://express.4px.com/,express,//s.trackingmore.com/images/icons/express/4px.png,CN,http://track.4px.com/,递四方
"Anjun Logistics",anjun,"+86 400-999-6128",http://www.szanjun.com,express,//s.trackingmore.com/images/icons/express/anjun.png,CN,http://www.szanjuntrack.com/Szanjuntrack.asp,安骏物流
"J-NET Express",j-net,400-728-7156,http://www.j-net.cn/,express,//s.trackingmore.com/images/icons/express/j-net.png,cn,http://www.j-net.cn/cms/index.php/page/track.html?number=******,J-NET捷网
"Miuson Express",miuson-international,0755-84557420,http://www.miuson.net/cn/home/,express,//s.trackingmore.com/images/icons/express/miuson-international.png,cn,http://211.159.182.134:8082/trackIndex.htm,深圳淼信国际物流
"SF International Small Packet",sfb2c,"(+86) 9533883",http://intl.sf-express.com/,express,//s.trackingmore.com/images/icons/express/sfb2c.png,CN,http://www.sf-express.com/us/en/dynamic_function/waybill/#search/bill-number/******,顺丰国际小包
"S.F Express Domestic",sf-express,"+86 95338",http://www.sf-express.com,express,//s.trackingmore.com/images/icons/express/sf-express.png,cn,http://www.sf-express.com/us/en/dynamic_function/waybill/#search/bill-number/******,顺丰速运
"STO Express",sto,95543,http://www.sto.cn/,express,//s.trackingmore.com/images/icons/express/sto.png,cn,http://www.sto.cn,申通快递
"YTO Express",yto,95554,http://www.yto.net.cn/,express,//s.trackingmore.com/images/icons/express/yto.png,cn,http://www.yto.net.cn/gw/service/Shipmenttracking.html,圆通快递
"TTKD Express",ttkd,4001-888888,http://www.ttkdex.com/,express,//s.trackingmore.com/images/icons/express/ttkd.png,CN,http://www.ttkdex.com/staticFiles/pages/queryExpress.html,天天快递
"JD Express",jd,400-603-3600,http://www.jd-ex.com/,express,//s.trackingmore.com/images/icons/express/jd.png,CN,http://www.jdwl.com/order/search?waybillCodes=******,京东快递
"ZTO Express",zto,4008-270-270,http://www.zto.cn/,express,//s.trackingmore.com/images/icons/express/zto.png,CN,https://www.zto.com/express/expressCheck.html?txtBill=******,中通快递
"ZJS International",zjs-express,400-6789-000,http://www.zjs.com.cn/,express,//s.trackingmore.com/images/icons/express/zjs-express.png,CN,http://www.zjs.com.cn/yscp/index.jhtml,宅急送快递
"Yunda Express",yunda,"+86 95546",http://yundaex.com/cn/index.php,express,//s.trackingmore.com/images/icons/express/yunda.png,CN,http://www.yundaex.com/cn/index.php,韵达快递
DEPPON,deppon,"+86 95353",http://www.deppon.com/,express,//s.trackingmore.com/images/icons/express/deppon.png,CN,https://www.deppon.com/newwebsite/track/ordertrack,德邦物流
"XQ Express",xqwl,"020-2917 2361",http://www.xqkjwl.com/,express,//s.trackingmore.com/images/icons/express/xqwl.png,CN,http://121.40.73.213:8082/trackIndex.htm,星前物流
"Chukou1 Logistics",chukou1,,http://www.chukou1.com,express,//s.trackingmore.com/images/icons/express/chukou1.png,CN,http://www.chukou1.com/LogistictsTrack.aspx?trackNo=******,出口易
XRU,xru,400-688-0611,http://www.xru.com/,express,//s.trackingmore.com/images/icons/express/xru.png,CN,http://www.xru.com/,XRU-俄速递
Ruston,ruston,400-656-0077,http://www.ruston.cc,express,//s.trackingmore.com/images/icons/express/ruston.png,CN,http://www.ruston.cc/customer/xiaojianchaxun.html,Ruston俄速通
"QFKD Express",qfkd,4001000001,http://www.qfkd.com.cn,express,//s.trackingmore.com/images/icons/express/qfkd.png,CN,http://www.qfkd.com.cn/,全峰快递
"Nanjing Woyuan",nanjingwoyuan,"+86 18168003600",http://www.nanjingwoyuan.com/,express,//s.trackingmore.com/images/icons/express/nanjingwoyuan.png,CN,http://www.nanjingwoyuan.com/,南京沃源
"Hua Han Logistics",hhexp,+86-0755-82518733,http://www.hh-exp.com/,express,//s.trackingmore.com/images/icons/express/hhexp.png,CN,http://www.hhddb.com/default/index/get-track-detail,华翰物流
"Flyt Express",flytexpress,400-888-4003,http://www.flytexpress.com/,express,//s.trackingmore.com/images/icons/express/flytexpress.png,CN,http://www.flytexpress.com/Home/LogisticsTracking#orderIds=******,飞特物流
"Ali Business Logistics",al8856,400-666-1668,http://www.al8856.com/,express,//s.trackingmore.com/images/icons/express/al8856.png,CN,http://120.24.176.176:8082/trackIndex.htm,阿里电商物流
JCEX,jcex,400－887－1083,http://www.jcex.com/,express,//s.trackingmore.com/images/icons/express/jcex.png,CN,https://www.jcex.com/Query.html,JCEX佳成
"DPE Express",dpe-express,,http://www.dpe.net.cn/,express,//s.trackingmore.com/images/icons/express/dpe-express.png,CN,http://www.dpe.net.cn/Tracking.php,递必易
LWE,lwehk,"+852 3421 1122",http://www.lwe.com.hk/,express,//s.trackingmore.com/images/icons/express/lwehk.png,CN,http://www.lwe.com.hk/tracking,LWE
"Equick China",equick-cn,4007066078,http://www.equick.cn/,express,//s.trackingmore.com/images/icons/express/equick-cn.png,CN,http://www.equick.cn/F10003.aspx,EQUICK国际快递
"DWZ Express",dwz,"+86 0755-3632 6899",http://www.dwz56.com/,express,//s.trackingmore.com/images/icons/express/dwz.png,CN,http://www.dwz56.com/cgi-bin/GInfo.dll?DispInfo&w=szdwz&nid=27,递五洲国际物流
"Takesend Logistics",takesend,"+86 400-640-5699",http://www.takesend.com/,express,//s.trackingmore.com/images/icons/express/takesend.png,CN,http://k5.takesend.com:8180/WebTrack,泰嘉物流
"AliExpress Standard Shipping",global,400-6767-903,https://www.aliexpress.com,express,//s.trackingmore.com/images/icons/express/global.png,CN,https://global.cainiao.com/detail.htm?mailNoList=******&spm=a3708.7860688.0.d01
"Global Order (Cainiao)",cainiao,400-6767-903,https://global.cainiao.com,express,//s.trackingmore.com/images/icons/express/cainiao.png,CN,https://global.cainiao.com/detail.htm?mailNoList=******&spm=a3708.7860688.0.d01,菜鸟
TGX,tgx,,http://hk.kerryexpress.com/,express,//s.trackingmore.com/images/icons/express/tgx.png,,http://hk.kerryexpress.com/track?track=******,TGX精英速运
"1DL Express",1dlexpress,,www.1dlexpress.com,express,//s.trackingmore.com/images/icons/express/1dlexpress.png,CN,,e递诺快递
iMile,imile,"+971 58 956 0844",http://mweb.imile.com/#/home,express,//s.trackingmore.com/images/icons/express/imile.png,AE,,iMile
"Ausworld Express",aus,02-87226088,http://www.aus-express.com/,express,//s.trackingmore.com/images/icons/express/aus.png,,http://www.aus-express.com/Search.aspx,澳世速递
SX-Express,sxexpress,"+61 420319144",http://www.sxexpress.com.au,express,//s.trackingmore.com/images/icons/express/sxexpress.png,AU,http://www.sxexpress.com.au/Search.aspx,三象速递
"UVAN Express",uvan,0755-23347927,http://www.uvan56.com,express,//s.trackingmore.com/images/icons/express/uvan.png,CN,,UVAN宇环通快递
"CSD Express",csd,13751351357,http://www.csdexpress.com,express,//s.trackingmore.com/images/icons/express/csd.png,CN,,超时代供应链
"Sri Lanka Post",sri-lanka-post,"(94) 011 2325111",http://www.slpost.gov.lk/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19190.jpg,LK,,斯里兰卡邮政
"EWE Global Express",ewe,"+86 21 55961727",https://www.ewe.com.au,express,//s.trackingmore.com/images/icons/express/ewe.png,AU,https://www.ewe.com.au/html/track.html?cno=******#track-results,EWE全球快递
"Sudan Post",sudan-post,+1-345-949-6263,http://www.sudapost.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19200.jpg,SD,http://www.sudapost.com/,苏丹邮政
DEX-I,dex-i,"+86 20 66854050",http://www.dex-i.com/,express,//s.trackingmore.com/images/icons/express/dex-i.png,cn,,DEX-I
"Nippon Express",nippon,,https://www.nittsu.co.jp/,express,//s.trackingmore.com/images/icons/express/nippon.png,JP,,Nippon日本通运
"COSCO eGlobal",cosco,"020 38263963",http://www.cosco-eglobal.com/,express,//s.trackingmore.com/images/icons/express/cosco.png,CN,,中远e环球
WEL,logistics,"+86 400-8338-066",http://www.we-logistics.com/,express,//s.trackingmore.com/images/icons/express/logistics.png,,http://119.23.238.137/default/index/get-track-detail?type=cp&documentCode=******&Submit.x=10&Submit.y=11,世航通运WEL
"Spee-Dee Delivery",speedee,800-862-5578,http://speedeedelivery.com/,express,//s.trackingmore.com/images/icons/express/speedee.png,US,,"Spee-Dee Delivery"
"Syrian Post",syrian-post,"(963) 2247563",http://www.syrianpost.gov.sy/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19260.jpg,SY,http://www.syrianpost.gov.sy/,叙利亚邮政
RaidereX,raiderex,"+65 8666 5481",http://raiderex.com/,express,//s.trackingmore.com/images/icons/express/raiderex.png,,https://app.detrack.com/w/#/tracking/s/c2ed7ab0c381d61e1959731ff286cbb0ba590cb4,RaidereX
allekurier,allekurier,"+48 12 345 06 20",https://allekurier.pl/sledzenie,express,//s.trackingmore.com/images/icons/express/allekurier.png,PL,https://allekurier.pl/sledzenie,AlleKurier
"GuangChi Express",guangchi,"0755-8486 0627",http://www.litped.com,express,//s.trackingmore.com/images/icons/express/guangchi.png,CN,,光驰国际物流
"LP Express",lpexpress,"8700 55400",https://www.lpexpress.lt/en/home/,express,//s.trackingmore.com/images/icons/express/lpexpress.png,LT,,"LP Express"
Un-line,un-line,,http://www.un-line.com/,express,//s.trackingmore.com/images/icons/express/un-line.png,,http://www.un-line.com/index.asp,Un-line
"RZY Express",rzyexpress,"+65 96982006",http://rzyexpress.com.sg/,express,//s.trackingmore.com/images/icons/express/rzyexpress.png,SG,http://rzyexpress.com.sg/track.php,"RZY Express"
Transrush,transrush,4008311333,http://www.transrush.com/,express,//s.trackingmore.com/images/icons/express/transrush.png,,http://member.transrush.com/Transport/LogisticsTransferTrace.aspx?code=******&vcode=&source=undefined,转运四方
Venipak,venipak,"+370 5 2107717",https://www.venipak.lt/en/,express,//s.trackingmore.com/images/icons/express/venipak.png,LT,,Venipak
"Tanzania Post",tanzania-post,"+(255) 22-2118280",http://www.posta.co.tz/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20030.jpg,TZ,https://postashoptz.post/search?q=******,坦桑尼亚邮政
"Suteng Logistics",ste56,400-650-6666,http://www.ste56.com/,express,//s.trackingmore.com/images/icons/express/ste56.png,,http://www.ste56.com/kehu.aspx,速腾快递
"BAB international",bab-ru,020-29836668,http://www.bab-ru.com/,express,//s.trackingmore.com/images/icons/express/bab-ru.png,CN,http://bab.kingtrans.cn/WebTrack,北北国际
"Thailand Post",thailand-post,"+ (66) 0 2831 3131",http://www.thailandpost.co.th/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20040.jpg,TH,http://track.thailandpost.co.th/tracking/default.aspx,泰国邮政
"Airpak Express",airpak-express,"+60 03-7875 7768",http://www.airpak-express.com/,express,//s.trackingmore.com/images/icons/express/airpak-express.png,MY,https://tracking.airpak-express.com/tracking.aspx?stid=airpak&cn=000000000,"Airpak Express"
Winit,winit,"+86 400-996-0766",http://www.winit.com.cn/en,express,//s.trackingmore.com/images/icons/express/winit.png,cn,http://track.winit.com.cn/tracking/index.php?s=/Index/result,winit万邑通
"BDM Corriere espresso",bdm,"+39 370 1301136/06 45542700",https://www.bdmnet.it/tracking/,express,//s.trackingmore.com/images/icons/express/bdm.png,IT,,"BDM Corriere espresso"
"Togo Post",togo-post,"(228) 22214403",http://www.laposte.tg/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20050.jpg,TG,http://41.207.181.70/webtracking/,多哥邮政
QEXPRESS,qexpress,09-8388681,http://www.qexpress.co.nz/,express,//s.trackingmore.com/images/icons/express/qexpress.png,NZ,http://www.qexpress.co.nz/tracking.aspx,新西兰易达通
CNILINK,cnilink,"+86-0755-2321 7846",https://cnilink.com/trace.html,express,//s.trackingmore.com/images/icons/express/cnilink.png,,http://www.cnilink.com/chTrace.html,CNILINK
Szendex,szendex,"93 790 15 15",https://www.szendex.com,express,//s.trackingmore.com/images/icons/express/szendex.png,ES,,Szendex
"Tonga Post",tonga-post,"+(676) 21700",http://www.tongapost.to/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20060.jpg,TO,http://tongapost.to/,汤加邮政
"LBC Express",lbcexpress,"+63 800-10-8585999",http://www.lbcexpress.com/,express,//s.trackingmore.com/images/icons/express/lbcexpress.png,,https://www.lbcexpress.com/us/track/?tracking_no=******,"LBC Express"
360zebra,360zebra,400-7200-400,http://zpd.360zebra.com/track/parcelview#/,express,//s.trackingmore.com/images/icons/express/360zebra.png,cn,http://www.360zebra.com/en/tracking,斑马物联网
"Spoton Logistics",spoton,"1800 102 1414",https://web1.spoton.co.in/spotoncontracker.html,express,//s.trackingmore.com/images/icons/express/spoton.png,IN,,Spoton
Smartcat,tcat-cn,,,express,//s.trackingmore.com/images/icons/express/tcat-cn.png,CN,,黑猫跨境物流
"Chinz Logistics",chinz56,09-8372888,http://www.chinz56.co.nz/,express,//s.trackingmore.com/images/icons/express/chinz56.png,NZ,http://www.chinz56.co.nz/cgi-bin/GInfo.dll?DispInfo&w=chinz56&nid=12,秦远物流
HKD,hkdexpress,,https://hkdexpress.com.au/pages/tracking,express,//s.trackingmore.com/images/icons/express/hkdexpress.png,AU,http://www.hkdexpress.net/index.php?m=track&a=index,HKD
"Tunisia Post",tunisia-post,"(+216) 71 839 000",http://www.poste.tn/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20100.jpg,TN,http://www.poste.tn/,突尼斯邮政
"Pandu Logistics",pandulogistics,"+62 (021) 461 6007",http://pandulogistics.com/,express,//s.trackingmore.com/images/icons/express/pandulogistics.png,ID,http://pandulogistics.com/,"Pandu Logistics"
Auexpress,auexpress,"+61 2 8774 3488",http://www.auexpress.com.au,express,//s.trackingmore.com/images/icons/express/auexpress.png,cn,https://www.auexpress.com/order_track.php,澳邮中国快运AuExpress
Dachser,dachser,"+49 831 5916 0",https://elogistics.dachser.com,express,//s.trackingmore.com/images/icons/express/dachser.png,DE,,Dachser
"Pitney Bowes",pitneybowes,844-256-6444,https://pitneybowes.shipment.co/track/,express,//s.trackingmore.com/images/icons/express/pitneybowes.png,US,,"Pitney Bowes"
"Turkey Post",turkey-post,"90312509 50 00",http://www.ptt.gov.tr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/20110.jpg,TR,http://gonderitakip.ptt.gov.tr/en/,土耳其邮政
DPD(HK),dpd-hk,,http://dpdgroup.hk/Tracking.htm,express,//s.trackingmore.com/images/icons/express/dpd-hk.png,CN,https://www.dpd.com/tracking,香港DPD
"FedEx UK",fedex-uk,"+ 44 2476 706 660",http://www.fedex.com/gb/ukservices/,express,//s.trackingmore.com/images/icons/express/fedex-uk.png,UK,https://www.fedex.com/apps/fedextrack/?action=track&tracknumbers=******&locale=en_GB&cntry_code=gb,英国FedEx
TopYou,topyou,0755-28222577,http://www.szty56.com/,express,//s.trackingmore.com/images/icons/express/topyou.png,CN,,通邮国际物流
